,link_name,num_likes,status_message,status_type
0,Timeline Photos,18327,"Le nouveau #PC #Gamer HP Omen® chez MyTEK à 2199DT au lieu de 2399DT pour les 10 premiers clients 
http://www.mytek.tn/pc-gamer-/9647-pc-portable-hp-omen-15-ax201nk-i7-7e-gen-12go-1to-128go-ssd.html",photo
1,Timeline Photos,7961,"Profitez de super promo chez myTEK :
Pc Portable VEGA BOOK Quad-Core 2Go de RAM et 32Go Disque Dur+ Windows10+sacoche+souris à 359 dt seulement !
http://www.mytek.tn/pc-portable/10024-pc-portable-vega-book-quad-core-2go-32gb-me-.html",photo
2,Timeline Photos,7833,"Pc Portable ASUS X550JX LIGHT GAMING à 1499 TTC !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
3,Timeline Photos,7079,"Le nouveau #PC #Gamer HP Omen® chez MyTEK à 2199DT au lieu de 2399DT pour les 10 premiers clients 
http://www.mytek.tn/pc-gamer-/9647-pc-portable-hp-omen-15-ax201nk-i7-7e-gen-12go-1to-128go-ssd.html",photo
4,Timeline Photos,6810,"Smart Watch V9 Bluetooth à 69dt au lieu de 83dt
http://www.mytek.tn/smart-watch/5625-smart-watch-v9-bluetooth-tunsie.html",photo
5,,6590,"Pc Portable Dell Inspiron 7567 i7 7é Gén 16Go 1To+128SSD + cent cinquante dinars bon de réduction  , pour toute réservation avant le 05-12-2017.
Produit disponible en noir et rouge.
Pour plus d'informations : 
http://www.mytek.tn/recherche?controller=search&orderby=position&orderway=desc&search_query=Pc+Portable+Dell+Inspiron+7567+&submit_search=",photo
6,Timeline Photos,6584,"Lenovo Y5070 à 1839 au lieu de 1939 et 2 cadeaux en plus !!!
http://www.mytek.tn/pc-gamer-/2145-pc-portable-lenovo-y5070-i7-16go-.html
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)",photo
7,Timeline Photos,6482,"Hoverboard est disponible chez Mytek à 485 TTC au lieu de 699 TTC !!
www.mytek.tn",photo
8,Timeline Photos,6422,"PC LENOVO G5030 Quad Core à 499 TTC !!! Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
9,Timeline Photos,6293,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على  page Mytek 👍
-اعمل  j'aime عالتصويرة 👍
- بارتاجيها
=> تدخل في قرعة و تربح Tablette ASUS نهار 6 نوفمبر 2015",photo
10,Timeline Photos,6103,"Un PC Gamer ASUS ROG i7-7700HQ 7è Génération + GTX1050 4Go + Windows 10 original et 2 ANS de Garantie à 2299 DT au lieu de 2699DT !!!
http://www.mytek.tn/pc-gamer-tunisie/9130-pc-portable-asus-rog-gl753ve-i7-7e-gen-8go-1to128-go-ssd.html",photo
11,,6010,"PC Portable HP OMEN - 15-ax204nk i7 7è Gén 16Go 2To 128SSD à 2399dt au lieu de 2559dt
Promo valable du 29/11 au 06/12
Pour commander :
 http://www.mytek.tn/pc-gamer-/9930-pc-portable-hp-omen-15-ax204nk-i7-7e-gen-16go-2to-128ssd.html",photo
12,Timeline Photos,5874,"Hoverboard à 399dt Seulement !
http://www.mytek.tn/recherche?controller=search&orderby=position&orderway=desc&search_query=hoverboard+577&submit_search=",photo
13,Timeline Photos,5720,"Micro-ondes LG  20 Litres à 199dt au lieu de 259dt !
http://www.mytek.tn/micro-onde/9981-micro-ondes-lg-ms2043h-20-litre.html",photo
14,Timeline Photos,5603,"Les meilleures offres sont toujours chez Mytek ! Tablette Asus Memo Pad 7'' à 149 TTC au lieu de 199 TTC !!
www.mytek.tn",photo
15,Timeline Photos,5502,"Pc portable HP 15-ac108nk i7 6è Gén 8Go 1To à 1199dt au lieu de 1349dt !!
http://www.mytek.tn/pc-portable/7431-pc-portable-hp-15-ac108nk-i7-6e-gen-8go-1to.html
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse",photo
16,Timeline Photos,4994,"Pc portable HP 15-ac108nk i7 6è Gén 8Go 1To à 1199dt au lieu de 1349dt !!
http://www.mytek.tn/pc-portable/7431-pc-portable-hp-15-ac108nk-i7-6e-gen-8go-1to.html
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)",photo
17,Timeline Photos,4974,"Hoverboard est disponible chez Mytek à 669 TTC seulement !!
www.mytek.tn",photo
18,Timeline Photos,4925,"Appareil Photo CANON IXUS 160 à 199 TTC !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
http://www.mytek.tn/appareil-photo-numerique-tunisie/3077-canon-ixus-160-noir.html?search_query=ixus&results=4",photo
19,Timeline Photos,4858,"Pc portable HP Pavilion 15-bc003nf i7 6è Gén 12Go 1To + 128 Go SSD à 1985dt
http://www.mytek.tn/pc-gamer-/8075-pc-portable-hp-pavilion-15-bc003nf-i7-6e-gen-12go-1to-128-go-ssd.html
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse",photo
20,Timeline Photos,4719,"Profitez avec MyTEK !
Smartphone ASUS ZenFone GO 3G à 199dt au lieu de 249dt
Smartphone ASUS ZenFone GO 4G à 299dt au lieu de 349dt
http://www.mytek.tn/142-smartphone-tunisie#/fabricant-asus/systeme_d_exploitation-android",photo
21,Timeline Photos,4593,"Exclusivité !!! 
Le smartphone 4G le moins cher en Tunisie chez myTEK ...
http://www.mytek.tn/smartphone-tunisie/8761--smartphone-alcatel-pixi-3-.html
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse",photo
22,Timeline Photos,4543,"Profitez avec MyTEK !
Smartphone ASUS ZenFone 3 Laser 32Go à 599dt au lieu de 629dt.
Smartphone ASUS ZenFone 3 Laser 64Go à 649dt au lieu de 699dt.
 http://www.mytek.tn/recherche?controller=search&orderby=position&orderway=desc&search_query=zenfone+3+laser&submit_search=",photo
23,Timeline Photos,4528,"Pc Portable ASUS Light Gaming I7 8Go 1To 4Go dédiée + Sacoche Asus à 1599dt au lieu de 1799dt pour les 20 premiers clients.
http://www.mytek.tn/pc-portable/7584-pc-portable-asus-x550vx-xx057d-i7-8go-1to.html",photo
24,Timeline Photos,4489,"Le PC Gamer le plus puissant du marché by ASUS ROG® G752VS i7-6820HQ/32Go /17.3"" Full HD/1To HDD & 2x512Go SSD/GTX 1070 8Go/Sac à dos ROG + Casque Gamer + Souris Gamer à 4 859dt
http://www.mytek.tn/pc-gamer-tunisie/9253-pc-portable-asus-rog-g752vsi7-6e-gen-32go-1to512go-ssd.html",photo
25,,4350,"Mouled mabrouk ...
PACK BLACK & DEKER Blender + Hachoir Mini + Mixeur Plongeant à 199dt au lieu de 259dt ...
Pour commander :
http://www.mytek.tn/mixeur-tunisie/13509-pack-black-deker.html",photo
26,Timeline Photos,4259,"En exclusivité chez mytek...
Pour 1 dinars de plus profitez de 2 ans de garantie sur votre smartphone
http://www.mytek.tn/
Livraison expresse assurée sur toute la Tunisie Tél : 22232232",photo
27,,4242,"Chez MyTEk les promos ne s’arrêtent jamais !!
consoles de jeux à prix fous !
http://www.mytek.tn/154-console-de-jeux#/show-all",photo
28,Timeline Photos,4239,"A ne pas rater !! Pack Mariage Russel Hobbs à 169 TTC seulement !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
29,,4200,"Pour la Saint-Valentin 💑 💑  ❤ ❤Offrez lui un SmartWatch ...
Smart Watch CONDOR C-Watch ACR 603 Bluetooth à 299dt au lieu de 399dt
🛒 commander sur : 
http://www.mytek.tn/recherche?controller=search&orderby=position&orderway=desc&search_query=Smart+Watch+CONDOR+C-Watch+ACR+603+&submit_search
لمزيد من المعلومات كلموا خدمة الحريف ☎ على : 71.805.500
التوصيل لكامل تراب الجمهورية",photo
30,Timeline Photos,4187,"Micro-onde LG MS2043H 20Litres à 189 DT Seulement ! , Pour les 10 premières Commandes en ligne.
http://www.mytek.tn/micro-onde/9981-micro-ondes-lg-ms2043h-20-litre.html",photo
31,Timeline Photos,4152,"Pc Portable HP 15-AY112NK I5 7é Gén + Smartphone HUAWEI Y3II à 1299dt au lieu de 1459dt !!
http://www.mytek.tn/pc-portable/9144-pc-portable-hp-15-ay112nk-i5-7e-gen-8go-1to-z9d83ea.html
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)",photo
32,Timeline Photos,4057,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
=> تدخل في قرعة و تربح Tablette ASUS نهار 6 نوفمبر 2015
www.mytek.tn",photo
33,Timeline Photos,4037,"Bicyclette Rodeo Hello Kitty pour Filles à 99 DT Seulement ! !
Pour les 20 premières Commandes en ligne au lieu de 159dt.
http://www.mytek.tn/bicyclettes-enfants/7328-bicyclette-hello-kitty-pour-filles-12-hk12.html",photo
34,Timeline Photos,3990,"Découvrez avec Mytek le nouveau lisseur Simbo 2en1 à 34.900 TTC !! 
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
http://www.mytek.tn/",photo
35,Timeline Photos,3816,"PC Portable ASUS ROG GL552JX Gaming à 1729 TTC au lieu de 1849 TTC !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
36,Timeline Photos,3812,"Profitez Smart Watch V9 à 99 TTC au lieu de 129 TTC !! Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
37,Timeline Photos,3785,"Brisez les barrières, La machine de combat utlime. #Republic_Of_Gamers 
Vente flash disponible chez Mytek à 1689 TTC dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
38,Timeline Photos,3586,"PC Portable HP 15-ac105nk + Souris & Sacoche D'origine HP à 769 TTC !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
39,Timeline Photos,3519,"Smartphone ASUS ZenFone 3 Laser 64Go à 699dt 
http://www.mytek.tn/smartphone-tunisie/8785-smartphone-asus-zenfone-3-laser-4go-32go-4g-zc551kl.html",photo
40,Timeline Photos,3429,"Les meilleurs offres sont toujours chez Mytek ! HP 250 G3 Dual Core 2 Go 500 Go à 435 TTC seulement !!!
www.mytek.tn",photo
41,Timeline Photos,3338,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
=> تدخل في قرعة و تربح Tablette ASUS نهار 6 نوفمبر 2015
www.mytek.tn",photo
42,,3294,"10% de Réduction PROMO Exclusive Commande En Ligne.
Pour commander : 
http://www.mytek.tn/pc-portable/12595-pc-portable-asus-vivobook-max-x541sc-dual-core-4go-500go-silver.html",photo
43,Timeline Photos,3265,"PC Portable ASUS i7 6è Gén /4 Go / 1 To & 2Go Graphique à 1399dt seulement !!!
Équipé d'un lecteur d'empreintes & module de sécurité TPM + Sacoche ASUS offerte
http://www.mytek.tn/pc-portable/9551-pc-portable-asus-p2430uj-i7-6e-gen-4-go-1-to-black.html",photo
44,Timeline Photos,3251,Du jamais vu! La Tablette Acer B1-720 est en promotion jusqu'au la fin d'année à 149DT seulement au lieu de 189DT,photo
45,Timeline Photos,3066,"Les meilleurs offres sont toujours chez Mytek ! HP 250 G3 Dual Core /2 Go/ 500 Go / à 435 TTC seulement !!!
www.mytek.tn",photo
46,Timeline Photos,3023,"Plus de 5000 articles High-Tech en stock et des PROMOS chaque jour.
Commandez en ligne & payez à la livraison
0 frais à partir de 300dt d'achats
www.mytek.tn",photo
47,Timeline Photos,3008,"Un PC Gamer ASUS ROG i7-7700HQ 7è Génération + GTX1050 4Go + Windows 10 original et 2 ANS de Garantie à 2299 DT au lieu de 2699DT !!!
http://www.mytek.tn/pc-gamer-tunisie/9130-pc-portable-asus-rog-gl753ve-i7-7e-gen-8go-1to128-go-ssd.html",photo
48,Timeline Photos,2989,"Mytek fait toujours l’exception !! Tablette Huawei Media Pad X1 à prix fou !!! 
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
49,Timeline Photos,2959,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
=> تدخل في قرعة و تربح Tablette HP نهار 14 نوفمبر 2015
www.mytek.tn",photo
50,Timeline Photos,2916,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
=> تدخل في قرعة و تربح Tablette ASUS نهار 6 نوفمبر 2015
www.mytek.tn",photo
51,Timeline Photos,2907,"Les meilleurs offres sont toujours chez Mytek ! Tablette HP Slate 10 HD 3604ef / 10"" / 3G / à 399 TTC seulement !!!
www.mytek.tn",photo
52,Timeline Photos,2906,"PC Portable LENOVO G5030 Profitez, à 379 TTC !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
53,Timeline Photos,2832,"Built to win!
ASUS X550VX- XX057D I7 8Go 1To avec Carte Graphique NVIDIA® GeForce® GTX 950M à 1799dt chez mytek
http://www.mytek.tn/pc-portable/7584-pc-portable-asus-x550vx-xx057d-i7-8go-1to.html?search_query=x550vx-xx057d&results=2
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)",photo
54,Timeline Photos,2821,"LE PLUS PUISSANT HP PAVILION :
http://www.mytek.tn/ordinateurs-portables-tunisie/6262-pc-portable-hp-15-ab203nk-i5-6e-gen-8go-1to-cle-3g-offerte-tunisie.html",photo
55,Timeline Photos,2803,"Pc Portable HP 15-AY112NK I5 7é Gén + Smartphone HUAWEI Y3II à 1299dt au lieu de 1459dt !!
http://www.mytek.tn/pc-portable/9144-pc-portable-hp-15-ay112nk-i5-7e-gen-8go-1to-z9d83ea.html
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)",photo
56,Mobile Uploads,2755,"PC LENOVO G5030 Quad Core à 549 TTC avec réduction 50DT (soit 499DT !!! ) Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
57,Timeline Photos,2643,"Exclusivité !!! 
Le smartphone 4G le moins cher en Tunisie chez myTEK ...
http://www.mytek.tn/smartphone-tunisie/8761--smartphone-alcatel-pixi-3-.html
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse",photo
58,Timeline Photos,2634,"Tablette Acer 7"" / 16Go / 3G à 229 dinars au lieu de 329 dinars !!! www.mytek.tn",photo
59,Timeline Photos,2620,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
=> تدخل في قرعة و تربح Tablette ASUS نهار 6 نوفمبر 2015
www.mytek.tn",photo
60,Timeline Photos,2557,"Mytek fait toujours l’exception !! Tablette Huawei Media Pad X1 à prix fou !!! 
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
61,Timeline Photos,2556,Les meilleurs offres sont toujours chez Mytek !! Le Smartphone Samsung Galaxy J1 est seulement à 299 TTC !!!,photo
62,Timeline Photos,2540,"En exclusivité chez mytek...
Pour 1 dinars de plus profitez de 2 ans de garantie sur votre smartphone
http://www.mytek.tn/
Livraison expresse assurée sur toute la Tunisie Tél : 22232232",photo
63,Timeline Photos,2510,"Promo CAN 2017 !
Téléviseur SAMSUNG J4100 32''  à 599dt au lieu de 699dt
http://www.mytek.tn/tv-led-tunisie/5717-televiseur-samsung-j4100-32-slim-led-.html
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)",photo
64,Timeline Photos,2495,"Plus de 5000 articles High-Tech en stock et des PROMOS chaque jour.
Commandez en ligne & payez à la livraison
0 frais à partir de 300dt d'achats
www.mytek.tn",photo
65,Timeline Photos,2483,"Le nouveau #PC #Gamer HP Omen® chez MyTEK à 2199DT au lieu de 2399DT pour les 10 premiers clients 
http://www.mytek.tn/pc-gamer-/9647-pc-portable-hp-omen-15-ax201nk-i7-7e-gen-12go-1to-128go-ssd.html",photo
66,Timeline Photos,2447,"Téléviseur TELEFUNKEN LED Full HD 43"" avec garantie de 3ans à 859dt
http://www.mytek.tn/tv-led-tunisie/8399-televiseur-telefunken-43e4600b-led-full-hd-43.html
Table TV couleur: Chêne brut à 259dt
http://www.mytek.tn/meuble-tv/9735-table-tv-lcd-alesta-tv033cb.html",photo
67,Timeline Photos,2428,"Pour des fêtes encore plus folles !! Profitez du pack Asus : Pc Portable + Tablette 3G , les deux à 599 TTC seulement !!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
68,Timeline Photos,2333,"Pour des fêtes encore plus folle !! Profitez du pack Asus : Pc Portable + Tablette 3G , les deux à 599 TTC seulement !!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
69,Timeline Photos,2312,"Offre EXCLUSIVE chez Mytek !! Pc portable ASUS X553MA BING Dual Core N2840/ 4Go/ 500Go/ 15.6''/ Intel HD/ Win8.1 à 499 seulement !!!
www.mytek.tn",photo
70,Timeline Photos,2279,"Profitez ..Pc Portable Asus i3 à 599 TTC au lieu de 699 TTC avec 2 ans de garantie.
http://www.mytek.tn/…/4252-pc-portable-asus-x550ca-4-go-500…
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)",photo
71,Timeline Photos,2254,"Les meilleures offres sont toujours chez Mytek !! Tablette Lenovo IdeaPad A3500 7''/QC1.3Ghz/1Go/16Go/3G/Double Camera..à 269 TTC seulement !!
www.mytek.tn",photo
72,Timeline Photos,2221,"Les meilleures offres chez mytek !!
Appareil Photo Numérique AMKOV 18 MP + Etui à 84,900 dt seulement 
http://www.mytek.tn/appareil-photo-numerique-tunisie/8363-appareil-photo-numerique-amkov-18-mp-etui.html",photo
73,Timeline Photos,2213,"SABA 48’’ FULL HD + PAIEMENT 6 FOIS SANS INTÉRÊT+ GARANTIE 2 ANS à 1060 TTC !!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
74,Timeline Photos,2210,"PC Portable Asus à 499 TTC avec 3 ANS de GARANTIE !!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
75,Timeline Photos,2165,Le meilleur rapport Qualité/Prix par HP à 499TTC seulement !!!,photo
76,Timeline Photos,2151,Vivez la fête du printemps avec Mytek ! Imprimante HP 1015 + cartouche offert à 59 TTC seulement !!,photo
77,Timeline Photos,2134,"Profitez d'une promotion limitée sur L'Asus VivoTab 8"" 32Go et windows 8.1 à 339DT seulement au lieu de 599DT",photo
78,Timeline Photos,2104,"Les meilleurs offres sont toujours chez Mytek ! Samsung Galaxy TAB 3 à 259 TTC seulement !!!
www.mytek.tn",photo
