,num_likes,status_published
0,18327,2017-02-20 03:31:05
1,7961,2017-03-04 06:18:12
2,7833,2016-06-06 03:48:05
3,7079,2017-03-02 06:21:08
4,6810,2017-03-08 06:50:14
5,6590,2017-11-29 11:46:50
6,6584,2015-10-16 10:54:01
7,6482,2016-06-11 04:58:39
8,6422,2015-10-01 07:23:36
9,6293,2015-10-30 10:23:00
10,6103,2017-02-07 14:41:28
11,6010,2017-11-29 11:01:40
12,5874,2017-07-15 03:33:17
13,5720,2017-03-03 04:05:31
14,5603,2015-05-14 02:52:46
15,5502,2016-11-14 04:43:30
16,4994,2016-11-01 09:11:38
17,4974,2016-04-30 07:37:13
18,4925,2016-06-10 08:25:13
19,4858,2016-11-15 10:31:23
20,4719,2017-07-07 06:13:04
21,4593,2016-12-25 03:09:27
22,4543,2017-06-21 07:58:46
23,4528,2017-06-22 02:57:33
24,4489,2017-02-15 11:47:14
25,4350,2017-11-28 08:04:02
26,4259,2016-12-02 11:40:23
27,4242,2017-11-28 10:29:26
28,4239,2016-03-14 10:50:01
29,4200,2018-02-13 09:43:29
30,4187,2017-06-10 05:05:12
31,4152,2017-02-11 04:10:43
32,4057,2015-10-31 06:13:40
33,4037,2017-06-13 08:13:50
34,3990,2016-02-23 08:17:24
35,3816,2016-03-03 11:11:55
36,3812,2016-02-08 05:02:05
37,3785,2016-01-28 04:58:20
38,3586,2016-05-09 11:31:54
39,3519,2017-06-17 04:48:31
40,3429,2015-07-24 07:10:55
41,3338,2015-11-02 11:07:32
42,3294,2017-11-16 03:15:57
43,3265,2017-02-14 08:57:54
44,3251,2014-12-20 02:29:34
45,3066,2015-08-05 02:33:13
46,3023,2017-04-08 03:26:42
47,3008,2017-02-17 09:38:10
48,2989,2015-10-27 09:17:58
49,2959,2015-11-09 05:18:52
50,2916,2015-11-04 04:08:30
51,2907,2015-09-09 06:47:13
52,2906,2015-11-28 04:36:12
53,2832,2016-10-07 03:05:30
54,2821,2016-02-20 04:01:03
55,2803,2017-02-02 06:30:11
56,2755,2015-09-27 03:15:03
57,2643,2016-12-23 13:25:40
58,2634,2015-03-24 03:59:59
59,2620,2015-11-05 03:11:49
60,2557,2015-11-02 02:55:00
61,2556,2015-04-27 11:27:34
62,2540,2016-12-05 05:54:37
63,2510,2017-01-03 10:50:30
64,2495,2017-03-28 04:44:50
65,2483,2017-02-18 06:02:19
66,2447,2017-03-14 04:06:23
67,2428,2015-12-25 10:18:07
68,2333,2015-12-22 06:20:56
69,2312,2015-04-23 04:20:59
70,2279,2015-10-22 08:06:03
71,2254,2015-06-09 09:12:26
72,2221,2016-10-31 04:21:12
73,2213,2016-03-24 10:00:29
74,2210,2016-04-19 03:36:08
75,2165,2014-07-23 07:40:30
