,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,
,,TCPC Mannouba,link,https://icpc.baylor.edu/regionals/finder/mannoubacpc-2018,2018-03-02 16:58:46,1,0,3,0,1,0,0,0,0,0,
,"Merci à madame Maha Ben Abdallah pour la conférence qu'elle a donnée aujourd'hui à l'ISAMM
#TCPC_MANOUBA <3",Photos from Jeunes Ingénieurs ISAMM's post,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1264863373648346/?type=3,2018-03-02 15:38:05,16,0,1,11,5,0,0,0,0,0,
,"Pour les esprits créatifs qui souhaitent tester leurs compétences en problem solving !! 
voilà une opportunité en or!! :D :) :D
 Si vous êtes étudiants(es) et vous avez au maximum 25 ans ,lycéens(nes) ou collégiens(nes), n'hésitez pas à vous inscrire à TOPS!!
Lien inscription :http://iops.online/UCG/inscription.html
Groupe Codeforce :http://codeforces.com/enter?back=%2Fgroup%2FEByarPuhmI%2F
Identifiant Codeforces :https://docs.google.com/forms/d/e/1FAIpQLSdQE_30zEmQlFgrVbjyOxt_hr5Wei3ELJozoPhJ-qYm-JDA1Q/viewform",iops.online,link,http://iops.online/UCG/inscription.html,2018-03-02 12:29:45,5,1,3,5,0,0,0,0,0,0,
,"Vous êtes passionnés par la programmation !!! vous voulez être les leaders de problem solving !! 
soyez alors présents à la conférence tcpc manouba talks Demain 11h 35 à l'isamm :D :) :D",TCPC Mannouba,photo,https://www.facebook.com/1849383231752411/photos/a.1858450634179004.1073741828.1849383231752411/1860629353961132/?type=3,2018-03-01 12:57:12,3,0,1,3,0,0,0,0,0,0,
,"le TCPC débarque dans notre CAMPUS 😁😀😁
Rejoignez la page et soyez les leaders de PROBLEM SOLVING au Campus de la Manouba",TCPC Mannouba,link,https://www.facebook.com/TCPC-Mannouba-1849383231752411/,2018-02-26 15:39:30,1,0,0,1,0,0,0,0,0,0,
,"Mosaique fm recrute des stagiaires pour des projets de fin d'étude en design
Il faut surtout étre créatifs avec un bon rendu graphique  
Déposer vos CV: midox@mosaiquefm.net",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1259747954159888/?type=3,2018-02-24 14:00:37,4,0,0,3,1,0,0,0,0,0,
,"Final Scoreboard:

Winning teams:

1/ We did not know the maximum... (ENSI)
2/ Tek-Coders (Tek-up)
3/ LnMinusOne (Esprit)",,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1254801887987828/?type=3,2018-02-18 12:21:41,7,1,0,5,2,0,0,0,0,0,
,"À propos du défi d'aujourd'hui 💻💪😁⏳
#TopCodersTunisia
#JeunesIngénieursISAMM",TOP Coders Tunisia v2,photo,https://www.facebook.com/ClubJ2I/photos/a.1254152821386068.1073741844.201198273348200/1254153168052700/?type=3,2018-02-17 17:34:38,11,1,8,9,2,0,0,0,0,0,
,"About today's challenge 💻💪😁⏳
#TopCodersTunisia 
#JeunesIngénieursISAMM",TOP Coders Tunisia v2,photo,https://www.facebook.com/ClubJ2I/photos/a.1254145671386783.1073741843.201198273348200/1254146484720035/?type=3,2018-02-17 17:30:32,7,0,1,7,0,0,0,0,0,0,
,,Photos from Jeunes Ingénieurs ISAMM's post,photo,https://www.facebook.com/ClubJ2I/photos/a.201201303347897.50561.201198273348200/1253752928092724/?type=3,2018-02-17 06:24:42,1,0,0,1,0,0,0,0,0,0,
